NAME	prize	source	magnitude	terminal	type	degree	betweenness	louvain_clusters	location	general_process	specific_process.x	general_function	specific_function	robustness	specificity	ast_FC	ex_FC	in_FC	mic_FC	oli_FC	opc_FC	data_source	greedy_clusters	label_prop_cluster	tau_aggregation_FC	dpr_FC	lysosome_FC	ROS_oxidation_FC	essentiality_CRISPRa_FC	essentiality_CRISPRi_FC	drug_target	HD_locus	HD_functional	barplot	tau_modifier	specific_process	general_datatype
AKAP5	0		NA	FALSE	protein	69	7.49665090503332e-05	10	cytoplasm	biological regulation	nonspecific function	binding	protein binding	1	0.2	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	ROBO receptors bind AKAP5	steiner node
AKAP9	0.85	GWAS locus	0	TRUE	protein	189	0.000186342053103829	10	golgi	biological regulation	nonspecific function	binding	protein binding	1	0.04	NA	NA	NA	NA	NA	NA	GWAS locus	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Mitotic Prometaphase	human GWAS
ALAS1	0		NA	FALSE	protein	80	0.000279420807530925	12	mitochondria	cellular process	cellular component organization	binding	protein binding	0.53	0.18	NA	NA	NA	NA	NA	NA	steiner node	3	24	0	0	0	-1.937632717	0	-3.2721126	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	PPARA activates gene expression	steiner node
ALPG	0	drosophila ABeta proteomics	1.68056464797789	TRUE	protein	7	2.08787339682395e-07	1	plasma_membrane	metabolic process	cellular metabolic process	catalytic	hydrolase	0	0.03	NA	NA	NA	NA	NA	NA	drosophila ABeta proteomics	8	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	drosophila proteomics
ALPK2	0.85	GWAS locus	0	TRUE	protein	3	4.30289740195326e-07	9	cytoplasm	metabolic process	nitrogen compound metabolic process	binding	drug binding	1	0.02	NA	NA	NA	NA	NA	NA	GWAS locus	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	nitrogen compound metabolic process	human GWAS
ALPP	0.95	fly genetic screen	1.68056464797789	TRUE	protein	67	0.000324996436850815	1	plasma_membrane	metabolic process	cellular metabolic process	catalytic	hydrolase	1	0.14	NA	NA	NA	NA	NA	NA	fly genetic screen	8	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Intra-Golgi traffic	drosophila genetics
AMPH	0		NA	FALSE	protein	54	4.97055004171828e-05	13	vesicle	cellular process	cell communication	binding	protein binding	0.52	0.08	NA	NA	NA	NA	NA	NA	steiner node	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Clathrin-mediated endocytosis	steiner node
AMY1A	0		NA	FALSE	protein	48	3.88064215870886e-05	9	extracellular	metabolic process	primary metabolic process	binding	protein binding	0.78	0.13	NA	NA	NA	NA	NA	NA	steiner node	10	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Digestion	steiner node
ANGPTL3	0.95	tau fly genetic screen	0	TRUE	protein	7	1.17837745710524e-05	2	extracellular	biological regulation	regulation of biological quality	binding	protein binding	1	0.03	NA	NA	NA	NA	NA	NA	tau fly genetic screen	2	15	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Assembly of active LPL and LIPC lipase complexes	drosophila genetics
ANGPTL8	0		NA	FALSE	protein	4	7.56797696448649e-08	2	extracellular	biological regulation	nonspecific function	binding	protein binding	0.81	0	NA	NA	NA	NA	NA	NA	steiner node	2	15	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Assembly of active LPL and LIPC lipase complexes	steiner node
ANK1	0		NA	FALSE	protein	48	5.52505871003647e-05	0	cytoskeleton	localization	cellular localization	binding	protein binding	0.41	0.06	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Interaction between L1 and Ankyrins	steiner node
ANKMY2	0.85	GWAS locus	0	TRUE	protein	37	1.04859822753272e-05	8	cytoskeleton	biological regulation	nonspecific function	binding	protein binding	1	0.14	NA	NA	NA	NA	NA	NA	GWAS locus	0	24	0	0	0	0	0	-2.48419112	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	human GWAS
ANKRD10	0		NA	FALSE	protein	20	9.74606249527469e-06	9				binding	protein binding	0.64	0.18	NA	NA	NA	NA	NA	NA	steiner node	12	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
ANKRD29	0		NA	FALSE	protein	15	1.0773237472798e-06	8						0.62	0.11	NA	-0.298977117214177	NA	NA	NA	NA	steiner node	4	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
ANKS4B	0.85	GWAS locus	0	TRUE	protein	6	1.15267379662696e-06	2	plasma_membrane	cellular process	cellular component organization	binding	protein binding	1	0.08	NA	NA	NA	NA	NA	NA	GWAS locus	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	cellular component organization	human GWAS
ANO3	0		NA	FALSE	protein	6	5.02643414583474e-07	9	plasma_membrane	localization	establishment of localization	transporter	transmembrane transporter	0.83	0.01	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	1	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Ion channel transport	steiner node
ANTXR1	0		NA	FALSE	protein	46	5.10385999871904e-05	5	plasma_membrane	cellular process	cellular component organization	binding	protein binding	0.44	0.13	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Uptake and function of anthrax toxins	steiner node
ANXA5	0.0418437085264889	human proteomics	0.196065487900382	TRUE	protein	102	6.8341732556245e-05	11	plasma_membrane	biological regulation	nonspecific function	binding	ion binding	0	0.09	NA	NA	NA	NA	0.333010216803101	NA	human proteomics	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Response to elevated platelet cytosolic Ca2+	human proteomics
ANXA6	0.95	tau fly genetic screen	0	TRUE	protein	39	2.46782997313487e-05	11	vesicle	cellular process	cellular component organization	binding	protein binding	1	0.04	NA	NA	NA	NA	NA	NA	tau fly genetic screen	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Muscle contraction	drosophila genetics
AP1AR	0		NA	FALSE	protein	6	3.97302451577711e-08	13	vesicle	biological regulation	nonspecific function	binding	protein binding	0.41	0.02	NA	NA	NA	NA	NA	NA	steiner node	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	no characterized pathway	steiner node
AP1G1	0.95	fly genetic screen	0	TRUE	protein	106	9.88669144950658e-05	13	cytoplasm	localization	establishment of localization	binding	protein binding	1	0.11	NA	NA	NA	NA	NA	NA	fly genetic screen	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	MHC class II antigen presentation	drosophila genetics
AP2A1	0.0418437085264889	human proteomics	-0.0502126617280292	TRUE	protein	129	0.000155642772944433	13	golgi	biological regulation	nonspecific function	binding	protein binding	0	0.03	NA	NA	NA	NA	NA	NA	human proteomics	1	24	0	0	0	-3.21428682	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	MHC class II antigen presentation	human proteomics
AP2M1	0.95	fly genetic screen	0	TRUE	protein	309	0.000848005677338519	13	vesicle	cellular process	cellular component organization	binding	protein binding	1	0.19	NA	NA	NA	NA	NA	NA	fly genetic screen	1	24	-0.539056666667	0	4.105023161	0	0	-2.456333923	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	MHC class II antigen presentation	drosophila genetics
AP3B2	0.0389349167593102	abeta drosophila phosphoproteomics	-6.0024710163864	TRUE	protein	12	5.42698549304011e-07	0	vesicle	localization	establishment of localization	transporter		0	0.04	NA	NA	NA	NA	NA	NA	abeta drosophila phosphoproteomics	1	24	0	0	0	3.305710557	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	establishment of localization	drosophila phoshoproteomics
AP3D1	0.0439238910945492	human proteomics	-0.0666896036805308	TRUE	protein	32	9.88918562074556e-06	9	lysosome	localization	cellular localization	transporter		0	0.02	NA	NA	NA	NA	NA	NA	human proteomics	1	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	cellular localization	human proteomics
AP4B1	0.0389349167593102	abeta drosophila phosphoproteomics	-6.0024710163864	TRUE	protein	9	2.90912451735763e-06	4	golgi	localization	macromolecule localization	binding	protein binding	0.31	0.09	NA	NA	NA	NA	NA	NA	abeta drosophila phosphoproteomics	2	9	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Golgi Associated Vesicle Biogenesis	drosophila phoshoproteomics
AP4M1	0.0121589026450481	eGene	0.0169	TRUE	protein	41	7.05847128645757e-06	4	golgi	localization	cellular localization	binding	protein binding	0.05	0.06	NA	-0.527089722670347	-0.706534556713862	NA	NA	NA	eGene	2	9	0	0	0	0	0	-2.480468409	0	1	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Lysosome Vesicle Biogenesis	eGene
APC	0.95	fly genetic screen	0	TRUE	protein	279	0.000717732864079872	8	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	1	0.21	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	0	0	1.95370105	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	APC truncation mutants are not K63 polyubiquitinated	drosophila genetics
APH1B	0.85	accessible GWAS locus	0	TRUE	protein	42	3.37974038757899e-05	4	plasma_membrane	metabolic process	nitrogen compound metabolic process	catalytic	hydrolase	1	0.07	NA	-0.318653984333428	NA	NA	NA	NA	accessible GWAS locus	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	human GWAS
APLP1	0		NA	FALSE	protein	65	0.000118081350302252	2	plasma_membrane	multicellular organismal process	multicellular organism development	binding	protein binding	1	0.11	NA	NA	NA	NA	NA	NA	steiner node	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	multicellular organism development	steiner node
APOC1	0		NA	FALSE	protein	31	2.6474891406191e-05	0	extracellular	biological regulation	nonspecific function	molecular function regulator	enzyme regulator	0.99	0.12	NA	NA	NA	1.78207838483767	NA	NA	steiner node	4	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Plasma lipoprotein clearance	steiner node
APOE	0.9	human proteomics	0.262699126203536	TRUE	protein	13801	0.00388580569079451	4	extracellular	biological regulation	nonspecific function	binding	protein binding	0.02	0.01	NA	NA	NA	0.536419397974406	NA	NA	accessible GWAS locus	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Nuclear signaling by ERBB4	human GWAS
APP	0.95	tau fly genetic screen	0.235687565283467	TRUE	protein	2623	0.0480669306701725	2	plasma_membrane	biological regulation	nonspecific function	binding	protein binding	1	0.31	NA	NA	NA	NA	NA	NA	tau fly genetic screen	2	24	0	0	0	0	0	0	1	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	Amyloid fiber formation	drosophila genetics
ARHGEF12	0.95	fly genetic screen	0	TRUE	protein	347	0.000453685469784029	7	extracellular	biological regulation	nonspecific function	binding	protein binding	1	0.07	NA	NA	NA	NA	NA	NA	fly genetic screen	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Semaphorin interactions	drosophila genetics
ARID4A	0.95	fly genetic screen	0	TRUE	protein	29	1.73946892198711e-06	2	nucleus	cellular process	cellular component organization	binding	organic cyclic compound binding	1	0.1	NA	NA	NA	NA	NA	NA	fly genetic screen	0	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Chromatin modifying enzymes	drosophila genetics
ARL4D	0.95	tau fly genetic screen	0	TRUE	protein	31	3.66615740871408e-05	2	plasma_membrane	localization	establishment of localization	binding	protein binding	1	0.04	NA	-0.539149069169052	NA	NA	NA	NA	tau fly genetic screen	2	24	0	0	0	0	0	0	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	1	establishment of localization	drosophila genetics
ARPC3	0.95	fly genetic screen	0	TRUE	protein	172	0.000224205822508395	7	plasma_membrane	cellular process	cellular component organization	binding	protein binding	1	0.06	NA	-0.446812394370607	-0.337734064180653	NA	NA	NA	fly genetic screen	1	24	0	0	0	0	0	-11.27442345	0	0	0	barchart: attributelist="ex_FC,in_FC,drug_target,HD_locus,HD_functional,tau_modifier" colorlist="up:#D95F02,down:#1B9E77"	0	Fcgamma receptor (FCGR) dependent phagocytosis	drosophila genetics
